,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,LotFrontage,MasVnrArea,GarageYrBlt,MasVnrType,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Electrical,GarageType,GarageFinish,GarageQual,GarageCond,SalePrice
364,9,3,948,1,0,3,0,2,0,14,2,2,0,5,5,4,76,26,1,0,6,6,1,4,2,437,0,651,509,1,4,1,531,264,0,337,1,0,2,1,3,1,1,8,6,1,2,238,2,142,12,0,0,0,0,0,9,0,8,4,77,22,62,1,2,3,2,2,5,4,1,0,4,4,190000
365,10,4,644,1,3,3,0,4,0,9,2,2,0,5,4,6,23,47,3,0,12,12,1,2,1,278,0,242,439,1,2,1,473,201,0,195,0,0,1,0,3,1,1,8,6,0,1,161,2,0,26,57,0,0,0,0,9,3,8,4,65,0,50,2,3,0,3,4,5,0,5,2,4,1,147000
366,4,3,495,1,0,3,0,4,0,12,2,2,0,2,5,4,63,13,1,0,9,9,1,4,1,373,0,619,229,1,2,1,253,0,0,229,1,0,1,1,3,1,1,8,6,2,2,200,2,0,163,0,0,32,0,0,9,3,8,4,77,113,49,1,2,3,3,1,5,4,1,1,4,4,159000
367,12,3,448,1,0,3,0,0,0,12,2,2,0,7,5,4,62,12,1,4,9,9,1,4,1,220,0,578,65,1,2,1,266,0,0,247,0,1,1,0,3,1,1,8,6,1,1,53,2,221,11,0,0,0,0,0,3,2,8,4,1,153,48,1,2,3,1,2,5,4,2,1,4,4,165000
368,4,3,276,1,3,3,0,4,0,12,2,2,0,2,4,5,54,4,1,0,6,6,1,4,2,328,0,578,167,1,2,1,187,0,0,154,0,0,1,0,2,1,1,9,6,1,1,26,2,0,181,0,0,0,0,0,5,4,8,4,85,80,40,1,3,3,3,3,5,4,1,0,4,4,132000
369,4,3,536,1,0,3,0,0,0,12,2,2,0,2,4,6,59,56,1,0,13,13,1,2,1,442,51,581,41,1,0,1,198,0,0,164,1,0,1,0,3,1,2,9,6,1,2,245,2,170,55,0,0,30,0,0,5,4,8,4,77,0,83,2,3,3,3,0,4,4,5,0,4,4,162000
370,9,3,311,1,0,3,0,4,0,8,2,2,0,5,5,4,100,50,1,0,12,12,1,4,2,0,0,708,606,1,0,1,642,224,0,391,0,0,2,1,3,1,1,9,6,1,2,155,2,1,126,0,0,0,0,0,0,0,8,4,77,0,86,2,2,3,3,5,5,4,1,1,4,4,172400
371,8,3,933,1,3,3,0,4,0,4,1,2,0,0,3,3,59,9,1,0,14,9,1,4,1,0,0,0,0,1,4,1,86,118,0,346,0,0,2,0,4,1,1,9,3,1,2,306,0,0,148,0,0,0,0,0,9,2,8,4,87,0,77,2,3,3,3,5,5,4,5,0,4,4,134432
372,0,3,224,1,3,3,0,4,0,20,2,2,4,2,5,4,84,34,1,0,9,9,1,4,1,382,16,0,481,1,4,1,507,0,0,676,1,0,1,0,2,1,1,6,6,0,1,36,2,165,0,0,0,69,0,0,4,4,8,4,56,0,70,2,2,3,3,0,3,4,1,2,4,4,125000
373,4,3,632,1,3,3,0,4,0,12,2,2,0,2,4,5,53,3,1,0,8,8,1,4,2,262,35,0,413,1,4,1,216,0,0,181,1,0,1,0,3,1,1,7,3,0,1,37,2,222,0,0,0,0,0,0,2,3,8,4,86,0,39,2,3,3,3,1,3,4,1,2,4,4,123000
374,9,3,323,1,3,3,0,4,0,5,2,2,0,5,6,4,103,54,1,0,12,12,2,4,2,0,0,656,542,1,0,1,569,21,0,511,0,0,2,1,4,1,2,10,6,1,2,133,2,1,135,0,0,0,0,0,9,1,8,4,71,0,89,2,2,3,3,5,5,4,3,0,4,4,219500
375,5,3,561,1,0,2,0,4,2,7,2,2,0,2,0,0,25,0,1,0,13,13,0,1,0,205,0,332,443,1,2,0,607,0,0,726,1,0,0,1,1,1,0,6,0,0,0,0,2,0,0,0,0,0,0,0,5,3,8,4,77,0,66,2,1,2,1,1,5,0,1,2,4,4,61000
376,13,3,402,1,0,3,0,1,0,5,2,2,0,6,4,4,96,46,1,0,12,12,2,4,2,173,0,491,556,1,0,1,615,0,0,731,0,0,1,0,2,1,1,7,6,0,2,245,2,0,0,0,0,0,0,0,9,0,8,4,63,0,84,2,2,3,0,2,5,4,5,2,4,4,148000
379,9,3,312,1,0,3,0,4,0,8,6,2,0,5,5,4,100,50,1,0,12,12,1,4,2,0,0,723,630,1,0,1,6,269,0,462,0,0,2,1,3,1,1,9,6,1,2,158,2,1,152,0,0,0,0,0,8,3,8,4,66,51,86,1,2,3,3,5,5,4,1,0,4,4,179000
380,8,3,121,1,3,3,0,4,0,18,2,2,0,0,4,5,27,0,1,0,3,13,1,4,0,130,0,634,18,1,4,1,17,198,0,409,0,0,2,0,3,1,2,8,6,1,1,62,2,0,0,69,0,0,0,0,7,4,8,4,56,0,12,2,3,3,3,3,5,4,5,2,4,4,127000
381,4,1,226,1,3,3,0,4,0,21,2,2,0,2,6,4,106,56,1,0,12,12,2,4,2,0,0,99,181,1,0,1,206,0,0,171,1,0,2,0,2,1,2,7,6,1,2,241,2,86,21,0,0,0,0,0,10,0,6,5,66,0,92,2,2,1,3,5,5,4,1,1,4,4,187750
382,9,3,462,1,0,3,0,4,0,5,2,2,0,5,6,4,106,56,1,0,12,12,2,4,2,0,0,702,595,1,0,1,633,303,0,461,0,0,2,1,3,1,2,10,6,0,2,284,2,32,141,0,0,0,0,0,6,1,8,4,86,0,92,2,2,3,0,5,5,4,1,1,4,4,213500
383,7,2,427,1,3,3,0,0,0,20,2,2,0,1,5,2,31,0,1,0,13,13,1,4,0,0,0,618,501,1,4,0,527,0,0,685,0,0,1,0,2,1,1,7,6,0,2,85,0,0,0,112,0,0,0,0,1,3,8,4,66,0,36,2,1,0,3,5,5,0,5,2,1,1,76000
384,9,3,22,1,1,2,0,0,1,4,1,2,0,5,5,4,92,42,1,0,6,6,2,4,2,559,0,501,304,1,0,1,57,313,0,521,1,0,2,1,3,1,2,11,6,2,2,189,2,86,86,0,0,0,0,0,8,1,8,4,77,0,78,2,2,3,0,2,5,4,1,0,4,4,240000
385,0,3,67,1,3,3,0,4,0,0,2,2,4,2,7,4,104,55,1,0,12,12,2,4,2,142,0,81,158,1,0,1,188,0,0,155,0,0,2,0,2,1,2,8,6,1,2,129,2,34,72,0,0,12,0,0,6,4,8,4,49,51,90,1,2,3,3,2,5,4,1,0,4,4,192000
386,8,3,344,1,3,3,0,2,0,7,1,2,0,0,4,2,13,46,2,0,13,12,1,1,2,0,0,536,434,1,4,1,468,135,0,104,0,0,1,0,5,1,1,10,6,0,0,0,0,0,43,0,0,0,0,0,7,0,8,1,64,0,66,2,3,3,3,5,5,4,1,2,4,4,81000
387,12,3,226,1,3,3,0,4,0,7,2,2,0,7,5,5,76,26,3,0,8,8,1,4,1,388,0,390,25,1,0,1,90,0,0,69,1,0,1,0,3,1,1,8,6,1,1,82,2,133,0,0,0,0,0,0,1,3,8,0,79,117,63,1,3,3,0,0,5,4,5,2,4,4,125000
388,4,3,483,1,0,3,0,1,0,5,2,2,0,2,6,4,99,50,1,0,12,12,2,4,2,0,0,146,254,1,0,1,285,0,0,275,0,0,2,0,3,1,2,8,6,0,2,246,2,15,97,0,0,0,0,0,9,2,8,4,100,25,85,1,2,3,3,5,5,4,1,1,4,4,191000
390,8,3,343,1,3,3,0,4,0,7,2,2,0,0,4,7,8,0,1,0,8,8,1,4,0,143,76,252,551,1,0,1,649,102,0,210,1,0,1,0,4,1,1,9,6,0,1,97,2,0,28,5,0,0,0,0,6,2,8,4,56,0,64,2,3,1,3,4,1,4,5,2,4,4,119000
391,9,3,782,1,0,3,0,1,0,11,2,2,0,5,5,4,101,52,1,0,12,12,1,4,2,423,0,56,515,1,0,1,541,43,0,525,1,0,2,1,3,1,2,9,6,1,2,234,2,19,68,0,0,0,0,0,8,3,8,4,78,0,87,2,0,3,3,0,5,4,3,0,4,4,215000
392,4,3,337,1,0,3,0,4,0,12,2,2,0,2,4,6,59,9,1,0,8,8,1,4,3,0,0,0,0,1,4,1,591,0,0,716,0,0,1,0,3,1,1,7,6,0,1,52,2,0,0,0,0,0,0,2,9,1,8,4,77,0,45,2,3,3,3,5,5,4,1,1,4,4,106500
393,5,3,248,1,3,3,0,0,0,3,1,2,0,2,3,4,43,0,1,0,14,14,1,4,1,156,0,462,502,1,4,1,529,0,0,686,0,0,1,0,2,1,1,6,6,2,0,0,2,0,0,0,0,0,0,0,6,0,8,0,77,0,66,2,3,3,3,4,5,0,1,2,4,4,100000
394,8,3,569,1,3,3,0,4,0,17,2,2,0,0,4,5,42,0,1,0,8,8,1,4,1,0,0,583,475,1,2,1,499,84,0,14,0,0,1,0,2,1,1,7,6,0,1,25,2,0,124,0,0,0,0,0,9,1,8,4,66,0,28,2,3,3,3,5,5,0,5,2,4,4,109000
395,4,3,507,1,3,3,0,4,0,7,2,2,0,2,4,5,56,6,1,0,13,13,1,4,1,453,0,386,94,1,4,1,105,0,0,83,1,0,1,0,3,1,1,8,6,0,1,255,2,194,0,0,0,0,0,0,8,4,8,4,74,0,42,2,3,3,0,1,5,4,1,2,4,4,129000
396,4,3,226,1,3,2,0,4,0,5,2,2,0,2,4,4,72,22,3,0,8,8,1,4,1,474,0,64,569,1,4,1,600,0,0,721,0,0,1,0,2,1,1,8,6,0,2,257,2,85,0,0,0,0,0,0,11,3,8,4,66,0,71,2,3,3,0,4,5,4,5,1,4,4,123000
397,9,3,259,1,3,3,0,4,0,12,4,2,0,5,4,4,62,12,1,0,12,12,1,4,1,328,0,328,553,1,4,1,587,350,0,468,0,0,2,0,4,1,1,10,6,1,1,36,2,0,53,0,0,0,0,0,9,1,8,4,75,139,48,1,3,3,3,0,5,4,1,1,4,4,169500
398,5,4,422,1,3,3,0,0,0,9,2,2,0,2,4,1,23,0,1,0,8,8,1,1,0,0,0,712,613,1,2,1,55,0,0,37,0,0,1,0,2,1,1,8,1,0,1,77,0,0,0,0,0,0,0,0,2,1,8,0,66,0,8,2,1,2,3,5,5,3,5,2,3,3,67000
399,9,1,313,1,3,3,0,4,0,21,2,2,0,5,6,4,106,57,1,0,5,5,2,4,2,491,0,289,59,1,0,1,80,106,0,318,1,0,2,0,2,1,2,9,6,0,2,137,2,0,53,0,0,0,0,0,1,3,8,4,71,2,93,3,2,3,3,2,5,4,1,0,4,4,241000
400,0,3,897,1,1,3,0,4,0,24,2,2,4,2,7,4,96,46,1,0,3,3,2,4,2,478,0,435,161,1,0,1,199,0,0,165,1,0,1,1,1,1,3,6,6,2,2,188,2,15,113,0,0,43,0,0,3,2,8,4,44,0,82,2,2,3,3,2,5,4,1,0,4,4,245500
401,4,3,391,1,0,3,0,4,0,5,2,2,0,2,6,4,105,55,1,0,12,12,2,4,2,142,0,96,191,1,0,1,212,0,0,177,0,0,2,0,3,1,2,8,6,1,2,107,2,0,0,0,0,0,0,0,9,0,6,5,71,0,91,2,2,3,0,2,5,4,1,0,4,4,164990
402,5,3,581,1,3,3,0,4,0,19,2,2,0,2,4,7,42,47,1,0,13,13,1,4,2,0,0,544,439,1,0,1,473,0,0,667,0,0,1,0,2,1,1,6,6,0,1,25,0,49,0,0,0,0,0,0,10,2,8,4,66,0,28,2,3,3,3,5,5,4,5,2,4,4,108000
403,9,3,768,1,3,3,0,0,0,15,2,2,0,5,7,4,98,48,3,0,12,12,2,4,2,0,0,58,91,1,2,1,122,23,0,606,0,0,2,1,4,1,2,0,6,1,2,121,2,32,23,0,0,0,0,0,9,0,8,0,100,245,84,1,2,3,3,5,5,4,3,0,4,4,258000
404,9,3,603,1,0,3,0,4,0,8,2,2,0,5,5,4,95,46,1,0,8,8,1,4,2,0,0,633,516,1,2,1,542,254,0,335,0,0,2,1,3,1,1,9,6,1,2,92,2,0,126,0,0,0,0,0,7,1,8,4,77,0,81,2,2,3,3,5,5,4,3,0,4,4,168000
405,4,3,553,1,0,3,0,0,0,19,1,2,0,2,3,3,76,43,1,0,9,9,1,4,1,35,0,190,176,1,0,1,351,0,0,362,1,0,2,0,3,1,1,10,2,1,2,179,2,15,165,0,0,0,0,0,8,3,8,4,77,0,79,2,3,3,3,1,5,4,1,2,4,4,150000
406,8,3,617,1,3,3,0,4,0,18,2,2,0,0,5,4,38,0,1,0,8,8,1,4,0,0,0,26,42,1,0,1,123,0,14,375,0,0,1,0,3,1,1,8,1,0,1,25,2,0,0,0,0,0,0,0,5,2,8,4,57,0,24,2,3,3,3,5,5,0,5,2,4,4,115000
407,10,3,904,1,3,3,0,4,0,6,2,2,0,5,5,6,18,26,1,0,13,9,1,4,0,0,0,652,537,1,0,1,564,293,0,400,0,0,2,0,4,1,1,10,6,0,1,62,2,0,0,28,0,0,0,0,5,2,8,4,69,0,46,2,2,3,3,5,5,4,1,2,4,4,177000
408,9,3,875,1,3,3,0,0,0,16,2,2,0,5,6,4,106,56,1,0,12,12,2,4,2,0,0,25,41,1,0,1,50,26,0,588,0,0,2,1,3,1,2,11,6,1,3,384,2,69,151,0,0,0,0,0,10,1,6,5,8,174,92,1,0,1,3,5,5,4,1,1,4,4,280000
410,4,3,507,1,3,3,0,4,0,7,2,2,0,2,4,2,58,8,1,0,2,2,1,1,1,0,0,94,173,1,4,1,191,0,0,158,0,0,1,0,3,1,1,7,4,0,1,81,2,0,0,0,0,0,0,0,8,3,0,0,74,0,44,2,3,0,3,5,5,0,1,2,4,4,60000
411,3,3,17,1,3,0,0,4,0,8,2,2,1,2,4,4,55,5,3,0,13,13,1,4,1,16,0,0,35,1,4,0,38,0,0,25,1,0,1,0,3,1,1,7,6,0,2,241,2,118,0,0,0,0,0,0,0,0,8,4,0,0,41,2,3,3,2,4,5,4,1,0,4,4,145000
412,4,1,105,1,1,3,0,4,0,21,2,2,0,2,6,4,109,59,1,0,8,8,3,4,2,355,0,677,255,1,0,1,284,0,0,274,1,0,2,1,2,1,2,9,6,1,2,176,2,0,38,0,0,0,0,0,8,4,6,5,77,201,95,3,0,3,0,2,5,4,1,0,4,4,222000
413,5,4,421,1,3,3,0,4,0,17,0,2,0,2,4,5,30,0,1,0,14,14,1,4,1,0,0,4,8,1,2,1,18,0,0,11,0,0,1,0,2,1,1,7,6,1,2,85,2,0,0,14,0,0,0,0,5,4,8,4,62,0,15,2,3,3,3,5,5,0,5,2,4,4,115000
414,9,3,698,1,1,3,0,1,0,20,2,2,0,5,6,4,93,43,1,0,12,12,2,4,2,301,100,449,52,1,0,1,58,3,0,569,0,1,2,1,3,1,2,11,6,1,3,305,2,71,65,0,0,0,0,0,3,2,8,4,65,0,79,2,2,3,3,1,2,4,1,2,4,4,228000
415,4,3,411,1,0,3,0,4,0,8,2,2,0,2,6,4,107,57,1,0,12,12,2,4,2,142,0,105,202,1,0,1,227,0,0,192,0,0,2,0,3,1,2,8,6,0,2,104,2,1,113,0,0,0,0,0,10,1,6,5,80,0,93,2,2,3,0,2,5,4,1,0,4,4,181134
416,9,3,281,1,3,3,0,4,0,19,2,2,0,5,5,6,78,28,3,0,6,6,1,4,1,125,0,428,439,1,4,1,473,233,0,232,0,0,1,1,3,1,1,8,6,1,2,139,2,0,0,0,0,0,0,0,5,0,8,4,81,82,64,1,3,3,3,0,5,4,1,0,4,4,149500
417,10,3,0,1,0,3,0,4,0,6,1,2,0,5,5,5,21,0,3,0,13,11,1,4,0,37,0,262,217,2,4,0,241,57,0,645,1,0,2,1,4,1,1,0,6,1,3,363,0,0,0,0,0,0,0,0,2,1,8,4,93,0,7,2,2,3,3,1,5,0,5,2,4,4,239000
418,8,3,315,1,3,3,0,4,0,7,2,2,0,0,4,5,42,0,1,0,8,8,1,4,0,182,0,414,486,1,1,0,511,98,0,75,1,0,1,1,3,1,1,9,6,0,1,25,1,0,0,0,0,0,0,0,6,1,8,1,66,0,28,2,3,3,3,0,5,1,5,2,4,4,126000
419,4,3,348,1,3,3,0,4,0,12,2,2,0,2,4,5,68,18,1,0,12,12,1,4,1,472,0,290,35,1,0,1,38,0,0,25,1,0,1,0,3,1,1,8,6,1,1,59,2,0,172,39,0,0,0,0,9,4,8,4,71,0,54,2,3,3,3,1,5,4,1,2,4,4,142000
420,14,4,213,1,3,3,0,4,0,11,2,2,2,6,6,4,97,48,1,0,12,12,1,2,2,74,0,343,203,1,0,1,229,0,0,195,2,0,2,0,2,2,1,10,6,0,4,339,2,0,0,0,0,0,0,0,2,2,8,2,85,80,83,1,2,1,1,2,5,4,1,0,4,4,206300
421,4,3,924,1,0,3,0,2,0,14,2,2,0,2,5,6,77,50,1,0,5,5,2,4,1,61,0,348,312,1,2,1,345,0,0,352,0,1,2,0,3,1,2,10,6,1,2,212,2,103,0,0,0,0,0,0,8,3,8,4,77,26,63,3,2,3,3,0,5,4,1,0,4,4,215000
422,4,3,961,1,3,1,0,4,1,11,0,2,0,2,4,4,54,4,3,0,6,6,1,4,1,0,0,725,634,1,0,1,671,0,0,765,0,0,1,0,2,1,1,6,6,0,2,204,0,0,0,0,0,0,0,0,4,2,8,4,0,0,40,2,3,3,3,5,5,0,1,1,4,4,113000
424,4,3,427,1,3,3,0,4,0,12,2,2,0,2,5,4,56,6,1,0,13,13,1,4,1,377,0,495,122,1,2,1,141,0,0,109,1,0,1,0,2,1,1,8,6,1,1,54,2,0,131,0,0,0,0,0,7,2,8,4,79,253,42,1,2,3,3,3,5,0,1,1,4,4,139000
425,9,4,72,1,3,1,0,4,0,17,2,2,0,5,6,7,46,42,1,0,6,6,1,2,1,0,0,533,430,1,2,1,490,206,0,225,0,0,1,1,3,1,1,8,6,2,1,25,1,0,0,11,0,0,0,0,11,3,8,4,66,0,33,2,3,3,3,5,5,4,5,2,4,4,135000
426,12,3,817,1,3,2,0,4,1,20,2,2,0,7,6,4,89,39,1,0,13,13,2,4,2,94,0,0,280,1,2,1,362,0,0,378,1,1,2,0,2,1,2,7,6,1,2,239,2,230,0,0,0,61,0,0,10,3,8,4,77,40,75,1,2,3,1,2,5,4,1,0,4,4,275000
427,4,3,370,1,0,3,0,4,0,12,2,2,0,2,3,5,57,7,3,0,8,8,1,4,1,167,0,515,573,1,0,1,609,0,0,727,0,0,1,0,3,1,1,7,6,0,1,82,2,0,0,0,0,0,0,0,9,2,8,4,84,0,50,2,3,3,3,4,5,4,5,2,4,4,109008
428,4,3,186,1,3,3,0,4,0,5,2,2,0,2,6,4,107,57,1,0,12,12,2,4,2,411,0,472,130,1,0,1,147,0,0,115,1,0,2,0,2,1,2,8,6,0,2,281,2,4,142,0,0,0,0,0,11,1,6,5,70,9,93,1,2,3,3,2,5,4,1,1,4,4,195400
429,4,3,725,1,0,3,0,0,0,23,2,2,0,2,5,4,88,38,1,0,6,6,1,4,1,4,0,372,228,1,4,1,257,0,0,237,1,0,2,0,3,1,2,8,6,1,2,245,2,0,0,31,0,0,0,0,5,3,8,4,21,0,74,2,2,3,2,2,5,4,1,2,4,4,175000
430,1,4,32,1,3,3,0,4,0,2,2,2,3,5,5,4,71,21,1,0,6,6,1,4,1,232,0,710,386,1,4,1,445,124,0,764,0,0,1,1,2,1,1,6,6,0,1,36,2,0,0,0,0,0,0,0,9,2,0,0,34,101,57,1,3,3,3,0,5,4,5,2,4,4,85400
431,8,4,142,1,0,0,0,4,0,17,1,2,0,0,5,6,23,48,1,0,8,8,1,4,0,0,0,683,572,1,2,1,62,24,0,110,0,0,1,0,4,1,1,9,6,0,0,0,0,0,181,0,0,0,0,0,11,2,3,0,66,0,66,2,3,3,3,5,5,4,1,2,4,4,79900
432,1,4,35,1,3,3,0,4,0,2,2,2,4,5,4,4,71,21,1,0,6,6,1,4,1,286,0,301,490,1,0,1,515,171,0,209,1,0,1,1,2,1,1,8,2,0,2,139,2,103,122,0,0,0,0,0,10,1,8,4,35,183,57,1,3,3,3,0,5,4,5,2,4,4,122500
433,9,3,659,1,0,3,0,0,0,8,2,2,0,5,5,4,97,48,1,0,12,12,1,4,2,0,0,695,586,1,0,1,623,204,0,354,0,0,2,1,3,1,1,9,6,1,2,162,2,0,122,0,0,0,0,0,9,2,8,4,0,0,83,2,2,3,3,5,5,4,1,0,4,4,181000
434,2,4,34,1,3,3,0,4,0,10,2,2,3,6,3,6,72,22,1,0,5,5,1,2,1,299,0,114,422,1,2,1,466,0,0,666,1,0,1,0,1,1,1,5,6,0,0,0,2,236,0,0,0,0,0,0,8,2,8,4,34,0,66,2,2,3,0,0,5,4,1,2,4,4,81000
435,9,3,641,1,1,3,0,1,0,5,4,2,0,5,6,5,96,46,1,0,12,12,2,4,2,230,66,557,511,1,0,1,557,290,0,389,1,0,2,1,3,1,2,8,6,1,2,227,2,43,150,0,0,0,0,0,6,3,5,4,49,0,82,2,2,3,0,2,0,4,1,1,4,4,212000
436,8,4,104,1,3,3,0,4,0,17,2,2,0,0,5,7,23,0,1,0,11,11,1,4,0,0,0,530,427,1,4,1,498,99,0,63,0,0,1,0,2,1,1,8,6,0,2,139,2,0,0,0,0,0,0,0,1,0,8,4,46,0,76,2,1,3,3,5,5,0,5,2,4,4,116000
437,7,4,159,1,3,3,0,4,0,3,2,2,0,1,5,6,29,54,1,0,13,13,2,4,2,0,0,675,565,1,2,1,607,0,0,726,0,0,1,0,2,1,1,6,6,0,1,9,2,0,0,3,0,0,0,0,0,3,8,4,56,0,14,2,3,3,3,5,5,4,5,2,4,4,119000
438,5,3,101,1,3,3,0,4,0,6,2,2,0,2,4,5,16,52,1,0,14,11,1,4,2,216,0,594,381,1,4,0,484,0,0,670,0,0,1,0,2,1,2,6,6,1,1,82,1,0,0,88,0,0,0,0,5,1,8,4,46,0,76,2,3,3,3,3,5,4,5,2,2,4,90350
439,8,3,790,1,3,3,0,0,0,7,2,2,0,0,5,7,23,50,1,0,13,13,1,4,0,0,0,549,444,1,2,1,479,127,0,109,0,0,1,0,3,1,2,9,6,0,2,211,2,0,133,0,0,0,0,19,10,3,4,4,73,0,91,2,3,0,2,5,5,4,5,2,4,4,110000
441,14,3,770,1,3,3,0,4,0,7,2,2,2,2,3,3,55,5,1,0,12,12,1,4,1,77,0,103,247,1,4,0,271,0,0,252,0,0,2,0,4,2,0,10,6,0,0,0,2,0,0,0,0,0,0,0,11,2,8,4,99,128,66,1,3,3,3,0,5,1,1,2,4,4,118000
442,8,4,169,1,3,3,0,4,0,3,2,2,0,0,4,6,33,42,1,0,8,8,1,4,2,0,0,32,50,1,4,1,93,109,0,336,0,0,2,0,3,1,1,10,6,1,2,85,1,0,0,0,0,0,0,0,8,2,8,4,58,0,18,2,3,3,3,5,5,4,5,2,4,4,162900
443,0,3,84,1,3,3,0,4,0,0,2,2,4,2,6,4,106,57,1,0,14,14,2,4,2,0,0,89,160,1,0,1,180,0,0,148,0,0,2,0,2,1,2,8,6,1,3,289,2,32,49,0,0,0,0,0,8,1,6,5,59,252,93,1,0,3,0,5,5,4,1,0,4,4,172500
444,9,3,387,1,3,3,0,4,0,5,2,2,0,5,6,4,94,45,1,0,12,12,2,2,2,394,0,283,579,1,0,1,629,358,0,501,1,0,2,1,4,1,2,10,6,1,2,181,2,32,31,0,0,0,0,0,9,2,8,4,76,0,80,2,2,3,3,2,5,4,1,2,4,4,210000
445,4,3,539,1,3,3,0,0,0,7,2,2,0,2,5,4,56,6,3,0,13,13,1,4,1,0,0,142,245,1,1,1,384,0,0,407,0,0,1,0,3,1,1,9,6,1,2,172,2,0,0,0,0,0,0,0,2,3,0,4,80,0,42,2,3,3,3,5,5,4,1,2,4,4,127500
446,4,3,922,1,0,3,0,0,0,12,3,2,0,2,5,5,66,52,1,0,3,9,2,4,1,144,127,483,279,1,0,1,420,0,0,495,0,0,2,1,2,1,2,8,4,1,2,247,2,0,0,0,0,0,0,0,8,4,8,4,23,0,52,2,3,3,3,0,4,4,1,0,4,4,190000
447,9,3,695,1,0,3,0,0,0,8,2,2,0,5,6,4,98,49,1,0,12,12,2,4,2,0,0,698,589,1,2,1,645,347,0,494,0,0,2,1,4,1,2,0,6,1,2,130,2,237,0,0,0,0,0,0,9,0,8,4,77,0,84,2,2,3,3,5,5,4,1,0,4,4,199900
448,8,4,371,1,3,0,0,4,0,9,2,2,0,0,5,5,39,0,1,0,8,8,1,4,0,0,0,616,499,1,4,1,525,170,0,217,0,0,2,0,3,1,1,9,6,1,1,13,0,0,0,0,0,0,0,0,8,0,8,4,56,0,25,2,3,3,3,5,5,4,5,2,4,4,119500
449,8,4,159,1,3,3,0,4,0,17,2,2,0,0,2,6,48,52,1,0,8,8,1,2,1,195,0,321,428,1,0,1,476,124,0,103,0,0,1,1,2,1,1,8,6,0,1,62,2,0,59,0,0,0,0,0,8,1,8,4,56,0,67,2,3,3,3,0,5,4,5,2,4,4,120000
450,5,4,146,1,3,3,0,4,0,17,2,2,0,2,5,7,33,55,3,0,13,13,1,4,0,0,0,639,521,1,0,1,548,0,0,694,0,0,1,0,2,1,2,7,6,0,1,37,0,0,14,0,0,0,0,0,8,0,8,4,76,0,20,2,3,3,3,5,5,0,5,2,1,1,110000
451,4,3,25,1,0,2,0,4,1,4,2,2,0,2,6,4,75,25,1,6,9,9,1,4,1,403,0,670,285,1,4,1,311,0,0,310,1,0,2,0,2,1,2,7,6,2,2,245,2,75,142,0,0,0,0,0,3,0,8,4,68,0,61,2,2,3,1,0,5,4,1,2,4,4,280000
452,9,3,472,1,0,3,0,0,0,23,2,2,0,5,5,4,96,47,3,0,12,12,2,4,2,455,0,100,557,1,0,1,596,308,0,442,1,0,2,1,3,1,1,9,6,0,2,122,2,32,22,0,0,0,0,0,9,1,8,4,77,195,82,1,0,3,3,0,5,4,1,0,4,4,204000
453,9,1,427,1,3,3,0,4,0,21,2,2,0,5,7,4,108,58,1,0,12,12,2,4,2,0,0,605,491,1,0,1,528,275,0,347,0,0,2,1,3,1,2,8,6,0,2,304,2,0,113,0,0,0,0,0,8,3,8,4,82,0,94,2,2,3,3,5,5,4,1,1,4,4,210000
454,14,3,470,1,3,3,0,4,0,11,2,2,2,2,4,4,76,26,1,0,9,9,1,4,1,100,0,77,345,1,4,1,399,0,0,430,2,0,2,0,4,2,1,10,6,0,2,234,2,0,0,0,0,0,0,0,9,0,8,3,69,0,62,2,3,3,3,0,5,4,5,2,4,4,188000
455,4,3,512,1,3,3,0,4,0,14,2,2,0,2,6,5,73,23,3,0,6,6,1,4,1,536,0,329,149,1,1,1,171,0,0,138,0,0,1,1,3,1,1,8,6,1,2,211,2,0,0,0,0,0,0,0,11,1,8,4,87,161,59,1,3,3,3,0,5,4,1,2,4,4,175500
456,10,4,111,1,3,3,0,4,0,17,2,2,0,5,4,4,19,0,1,0,0,0,1,4,0,0,0,518,419,1,1,0,463,230,0,195,0,0,1,0,4,1,1,9,6,0,3,199,2,0,0,114,0,0,0,0,7,2,0,0,40,0,6,2,3,3,3,5,5,4,5,2,1,1,98000
457,4,3,23,1,0,2,0,1,1,4,2,2,0,2,3,5,54,44,0,4,9,9,1,4,1,35,0,267,214,1,0,1,373,0,0,390,1,0,1,0,2,1,2,8,2,2,2,212,2,91,34,0,0,0,0,0,5,2,8,4,77,0,40,2,2,3,1,1,5,4,1,0,4,4,256000
